query,ground truth,semantic search (word2vec),common articles (word2vec),common links (word2vec),semantic search (tsdae),common articles (tsdae),common links (tsdae)
garði,84,10,0,1266,10,0,1389
garri,7,10,0,115,10,0,121
garður,102,10,0,1701,10,0,1687
garpur,4,10,0,71,10,0,60
garðakál,6,10,0,202,10,0,95
galdramaður,5,10,0,100,10,0,80
galdrastafur,1,10,0,17,10,0,16
gallblaðra,1,10,0,25,10,0,22
galdramál,1,10,0,21,10,0,15
gallrás,1,10,0,18,10,0,15
galdur,5,10,0,118,10,0,77
gall,51,10,0,1045,10,0,819
galeiða,2,10,0,38,10,0,33
gana,32,10,0,527,10,0,614
gabbró,2,10,0,43,10,0,34
gabon,2,10,0,39,10,0,33
gaumljós,2,10,0,50,10,0,33
gautur,2,10,0,28,10,0,30
gaukur,3,10,0,45,10,0,47
gaupa,1,10,0,124,10,0,17
gaumstol,1,10,0,43,10,0,43
gamlárskvöld,4,10,0,58,10,0,62
gamma,11,10,0,236,10,0,178
gammageisli,1,10,0,23,10,0,16
gamanmynd,14,10,0,248,10,0,280
gamla bíó,1,10,0,39,10,0,16
gaddavír,2,10,0,76,10,0,38
gas,993,10,0,16083,10,0,18273
gægjuhneigð,1,10,0,64,10,0,24
gæðingur,1,10,0,16,10,0,15
gæs,58,10,0,1239,10,0,907
gæsalappir,1,10,0,144,10,0,18
gif,3197,10,0,48550,10,0,45490
gifting,12,10,0,214,10,0,202
gils,94,10,0,1636,10,0,1519
gilbert,3,10,0,49,10,0,49
ginseng,1,10,0,36,10,0,21
googol,2,10,0,103,10,0,36
google,1,10,0,17,10,0,15
googolplex,1,10,0,76,10,0,16
gotneskur,1,10,0,65,10,0,18
goði,14,10,0,334,10,0,212
goðafræði,147,10,0,2764,10,0,2236
goð,221,10,0,3999,10,0,3742
gorkúla,1,10,0,43,10,0,17
golfklúbbur,7,10,0,142,10,0,111
golfvöllur,3,10,0,74,10,0,49
golf,16,10,0,424,10,0,256
gosdrykkur,4,10,0,81,10,0,60
gramm,27,10,0,548,10,0,502
grameðla,1,10,0,90,10,0,16
grasaætt,19,10,0,720,10,0,294
grafík,11,10,0,169,10,0,174
